id,content,category
220,I want a routine health examination,general_physician
221,I need a general medical consultation,general_physician
222,Mild cough with a runny nose,general_physician
223,Feeling tired after a viral illness,general_physician
224,Mild fever with reduced appetite,general_physician
225,Occasional headache and fatigue,general_physician
226,Feeling weak after several days of poor sleep,general_physician
227,Low grade fever with mild muscle aches,general_physician
228,Feeling unwell with mild cold symptoms,general_physician
229,Mild seasonal allergy symptoms and fatigue,general_physician
230,I have been feeling tired and feverish,general_physician
231,Mild chills with a runny nose,general_physician
232,General weakness after recovering from an infection,general_physician
233,Mild cough without serious breathing problems,general_physician
234,Feeling tired and having a mild headache,general_physician
235,Low energy and mild fever since yesterday,general_physician
236,I have a slight fever and body ache,general_physician
237,Feeling generally weak after a busy week,general_physician
238,Mild cold symptoms for three days,general_physician
239,I need advice about a routine health checkup,general_physician
240,Feeling tired with mild throat irritation,general_physician
241,Occasional mild fever during the evening,general_physician
242,Mild headache with tiredness after work,general_physician
243,Feeling weak and having difficulty maintaining energy,general_physician
244,Mild flu like symptoms since yesterday,general_physician
245,General fatigue with no severe pain,general_physician
246,Feeling slightly feverish and tired,general_physician
247,Mild cough and body aches,general_physician
248,Loss of energy following a common cold,general_physician
249,Feeling unwell with mild fever and chills,general_physician
250,I want to discuss my general health,general_physician
251,Mild weakness and occasional dizziness,general_physician
252,Feeling tired with a slight loss of appetite,general_physician
253,Common cold symptoms with mild body pain,general_physician
254,Feeling feverish after being outside in the rain,general_physician
255,Mild fatigue that has lasted several days,general_physician
256,General weakness with a mild headache,general_physician
257,Feeling tired after recovering from a cold,general_physician
258,Mild fever and occasional sneezing,general_physician
259,I have mild body aches and feel unwell,general_physician
260,Feeling weak and tired in the afternoon,general_physician
261,Mild cough and nasal discharge,general_physician
262,Low energy with mild flu symptoms,general_physician
263,Feeling slightly sick after returning from travel,general_physician
264,Mild fever with tiredness and chills,general_physician
265,General health checkup after feeling fatigued,general_physician
266,Mild sore throat and runny nose,general_physician
267,Feeling tired with occasional mild fever,general_physician
268,Body weakness after a recent viral infection,general_physician
269,Mild headache and nasal congestion,general_physician
270,Feeling generally tired without severe symptoms,general_physician
271,Mild fever and decreased appetite for two days,general_physician
272,Feeling weak with mild cold symptoms,general_physician
273,Occasional cough and general tiredness,general_physician
274,Mild body aches after a recent illness,general_physician
275,Feeling tired and mildly feverish for three days,general_physician
276,Chest discomfort after walking uphill,cardiologist
277,Heart beating unusually fast during rest,cardiologist
278,Blood pressure remains high despite regular monitoring,cardiologist
279,Feeling skipped heartbeats several times a day,cardiologist
280,Shortness of breath after moderate physical activity,cardiologist
281,Pressure in the center of the chest during exercise,cardiologist
282,Palpitations that occur suddenly at night,cardiologist
283,Swelling in both ankles with a history of heart problems,cardiologist
284,Feeling my heart race without exercising,cardiologist
285,Chest discomfort that appears when climbing stairs,cardiologist
286,High blood pressure detected during a recent checkup,cardiologist
287,Irregular pulse noticed while checking my heartbeat,cardiologist
288,Getting unusually breathless during normal activities,cardiologist
289,Occasional chest heaviness after physical activity,cardiologist
290,Heart pounding strongly while sitting quietly,cardiologist
291,Follow up appointment for high blood pressure,cardiologist
292,Family history of coronary artery disease,cardiologist
293,Feeling occasional fluttering in my chest,cardiologist
294,Shortness of breath when lying flat at night,cardiologist
295,Chest pressure that improves after resting,cardiologist
296,My heartbeat feels irregular sometimes,cardiologist
297,High cholesterol found in my latest blood test,cardiologist
298,Feeling lightheaded together with occasional palpitations,cardiologist
299,Swelling around my ankles has been increasing,cardiologist
300,Need evaluation for frequent heart palpitations,cardiologist
301,Chest tightness during brisk walking,cardiologist
302,Heart rate becomes very fast during mild exercise,cardiologist
303,Blood pressure readings have been consistently elevated,cardiologist
304,Occasional pounding sensation in my chest at night,cardiologist
305,Feeling unusually tired with physical activity,cardiologist
306,Chest discomfort after carrying heavy objects,cardiologist
307,Irregular heartbeat noticed several times this week,cardiologist
308,Shortness of breath while climbing several flights of stairs,cardiologist
309,Need a follow up for an existing heart condition,cardiologist
310,Family history of heart disease and high cholesterol,cardiologist
311,Heart beats very quickly after small amounts of exercise,cardiologist
312,Occasional pressure in my chest while walking,cardiologist
313,My blood pressure has been high for several weeks,cardiologist
314,Feeling palpitations after drinking coffee,cardiologist
315,Ankle swelling that gets worse toward evening,cardiologist
316,Heart rhythm feels different from normal,cardiologist
317,Getting breathless during routine household activities,cardiologist
318,Chest heaviness that occurs during exercise,cardiologist
319,Need an evaluation for persistent high blood pressure,cardiologist
320,Occasional dizziness with an irregular heartbeat,cardiologist
321,Feeling a strong pulse in my chest while resting,cardiologist
322,Shortness of breath when lying down at night,cardiologist
323,Chest discomfort associated with physical exertion,cardiologist
324,Heart racing for several minutes without exercise,cardiologist
325,Recent test showed unusually high cholesterol,cardiologist
326,Swelling in the feet and ankles with breathlessness,cardiologist
327,Feeling skipped beats when trying to sleep,cardiologist
328,Chest pressure while walking quickly,cardiologist
329,Need regular monitoring for hypertension,cardiologist
330,Heart rate sometimes becomes irregular during rest,cardiologist
331,Feeling breathless after climbing stairs,cardiologist
332,Occasional mild chest discomfort during exercise,cardiologist
333,Palpitations occurring repeatedly throughout the day,cardiologist
334,My blood pressure is frequently above the normal range,cardiologist
335,Family history of heart rhythm problems,cardiologist
336,Feeling tired and breathless during physical activity,cardiologist
337,Heart pounding after only a short walk,cardiologist
338,Chest tightness that appears with exertion,cardiologist
339,Need a heart health evaluation after abnormal test results,cardiologist
340,Occasional fluttering sensation near my heart,cardiologist
341,Ankle swelling without an obvious injury,cardiologist
342,Heartbeat becomes irregular after exercise,cardiologist
343,High blood pressure found during multiple readings,cardiologist
344,Shortness of breath during normal daily activities,cardiologist
345,Chest heaviness that goes away after resting,cardiologist
346,Feeling my heart skip beats while sitting,cardiologist
347,Need follow up after an abnormal heart test,cardiologist
348,Occasional palpitations with mild dizziness,cardiologist
349,Heart beats strongly when I lie down,cardiologist
350,Getting unusually breathless during a short walk,cardiologist
351,Itchy red patches appearing on my arms,dermatologist
352,Small painful pimples have appeared on my face,dermatologist
353,My scalp has been very itchy and flaky,dermatologist
354,Red itchy skin after using a new cosmetic product,dermatologist
355,Dark patches have developed on my cheeks,dermatologist
356,My skin becomes very dry during the winter,dermatologist
357,Small bumps and itching on my upper arms,dermatologist
358,Recurring rash on my hands,dermatologist
359,White flaky patches around my scalp,dermatologist
360,My hair has been falling out more than usual,dermatologist
361,Itchy skin between my toes,dermatologist
362,Redness and irritation after using a new soap,dermatologist
363,Painful acne has appeared on my back,dermatologist
364,A mole on my arm looks different from before,dermatologist
365,Small wart has appeared on one of my fingers,dermatologist
366,My skin is peeling after too much sun exposure,dermatologist
367,Recurring hives appearing on my arms,dermatologist
368,Cracked and dry skin around my heels,dermatologist
369,Itchy rash spreading across my chest,dermatologist
370,My nails have become brittle and discolored,dermatologist
371,Scalp itching with persistent dandruff,dermatologist
372,Red patches developed after eating certain foods,dermatologist
373,Painful boil appeared on my skin,dermatologist
374,Small skin tags have appeared around my neck,dermatologist
375,My face has developed several dark spots,dermatologist
376,Recurring fungal rash on my feet,dermatologist
377,Skin irritation after using a new detergent,dermatologist
378,My lips and surrounding skin are becoming very dry,dermatologist
379,Itchy bumps appeared after an insect bite,dermatologist
380,Red and scaly skin on my elbows,dermatologist
381,Acne has become worse over the past few weeks,dermatologist
382,My scalp has red itchy areas,dermatologist
383,Small painful lumps have appeared under my skin,dermatologist
384,My skin is unusually sensitive and irritated,dermatologist
385,Recurring rash around my neck,dermatologist
386,Itching and redness under my arms,dermatologist
387,My fingernails have developed white and yellow patches,dermatologist
388,Dry flaky skin has appeared around my nose,dermatologist
389,I have persistent itching without a visible wound,dermatologist
390,Red itchy patches appeared after using a new cream,dermatologist
391,Hair is thinning noticeably near my forehead,dermatologist
392,Small bumps appeared after shaving,dermatologist
393,My skin has become darker around my neck,dermatologist
394,Recurring eczema on my hands,dermatologist
395,Itchy rash appeared after exposure to sunlight,dermatologist
396,A painful skin infection developed near my leg,dermatologist
397,My scalp feels dry and has excessive flakes,dermatologist
398,Several new spots have appeared on my skin,dermatologist
399,Redness and itching around my ankles,dermatologist
400,My skin keeps becoming irritated after bathing,dermatologist
401,Small blisters appeared on my fingers,dermatologist
402,My acne leaves dark marks on my face,dermatologist
403,Itchy skin around an old scar,dermatologist
404,Recurring rash appears during hot weather,dermatologist
405,My hair has become noticeably thinner,dermatologist
406,Red dry patches appeared behind my ears,dermatologist
407,My skin feels rough and unusually dry,dermatologist
408,Itchy circular patches appeared on my leg,dermatologist
409,A new mole has appeared on my back,dermatologist
410,My scalp is itchy after using hair products,dermatologist
411,Small red spots appeared across my arms,dermatologist
412,Persistent dandruff despite regular hair washing,dermatologist
413,My skin becomes itchy whenever I sweat,dermatologist
414,Recurring painful pimples on my face,dermatologist
415,Red flaky skin around my eyebrows,dermatologist
416,My toenails have become thick and discolored,dermatologist
417,Itchy patches appeared after wearing new clothes,dermatologist
418,My hands are dry and cracking frequently,dermatologist
419,A rash has persisted for more than a week,dermatologist
420,My skin is peeling and irritated around my fingers,dermatologist
421,Dark spots have appeared after an old rash healed,dermatologist
422,Small itchy bumps appeared on my legs,dermatologist
423,My scalp has been unusually oily and itchy,dermatologist
424,Recurring redness around my nose and cheeks,dermatologist
425,My skin reacts badly to several cosmetic products,dermatologist
426,Knee pain after climbing stairs,orthopedic
427,Lower back pain after sitting for long hours,orthopedic
428,Shoulder pain when reaching overhead,orthopedic
429,Ankle pain after twisting my foot,orthopedic
430,Stiffness in my knees after waking up,orthopedic
431,Hip pain that gets worse while walking,orthopedic
432,Neck pain after working at a computer,orthopedic
433,Wrist pain after typing for several hours,orthopedic
434,Swelling around the knee after exercise,orthopedic
435,Heel pain when taking the first steps in the morning,orthopedic
436,Elbow pain after playing tennis,orthopedic
437,Back pain after lifting a heavy box,orthopedic
438,Shoulder stiffness that limits movement,orthopedic
439,Pain in my ankle after a sports injury,orthopedic
440,Joint pain in both knees,orthopedic
441,Pain in my foot after running,orthopedic
442,Finger joints feel stiff in the morning,orthopedic
443,Lower back pain spreading toward the hip,orthopedic
444,My knee sometimes locks when I bend it,orthopedic
445,Repeated ankle sprains while walking,orthopedic
446,Muscle strain in my thigh after exercise,orthopedic
447,Pain in my shoulder after lifting weights,orthopedic
448,Chronic pain in my lower back,orthopedic
449,Wrist pain that gets worse while using a mouse,orthopedic
450,Knee swelling after a long walk,orthopedic
451,My hip hurts when I stand for a long time,orthopedic
452,Neck stiffness after sleeping in an awkward position,orthopedic
453,Pain around my kneecap while running,orthopedic
454,Ankle swelling after a minor injury,orthopedic
455,Back pain that has lasted several months,orthopedic
456,Shoulder pain when putting on a shirt,orthopedic
457,Elbow stiffness after an old injury,orthopedic
458,Foot pain after standing all day,orthopedic
459,Joint stiffness after sitting for a long time,orthopedic
460,Pain in my knee after playing football,orthopedic
461,Lower back pain when bending forward,orthopedic
462,My wrist hurts when I lift objects,orthopedic
463,Shoulder pain that gets worse at night,orthopedic
464,Recurring pain in my ankle while running,orthopedic
465,My knees feel weak while going downstairs,orthopedic
466,Back pain after a long motorcycle ride,orthopedic
467,Stiffness and pain in my hip,orthopedic
468,Elbow pain after repetitive movements,orthopedic
469,Painful swelling around a finger joint,orthopedic
470,Heel pain after standing for several hours,orthopedic
471,My shoulder movement is becoming limited,orthopedic
472,Lower back pain after exercising,orthopedic
473,Knee discomfort that returns after physical activity,orthopedic
474,Ankle feels unstable while walking,orthopedic
475,Neck pain after spending hours looking down at my phone,orthopedic
476,Pain in my joints after physical activity,orthopedic
477,Back stiffness every morning,orthopedic
478,My knee hurts when I squat,orthopedic
479,Wrist discomfort after long hours of computer work,orthopedic
480,Pain around my shoulder blade,orthopedic
481,Hip pain when climbing stairs,orthopedic
482,My ankle remains sore after a previous sprain,orthopedic
483,Elbow pain when lifting a bag,orthopedic
484,Stiffness in my fingers while gripping objects,orthopedic
485,Foot pain that increases after walking,orthopedic
486,Recurring lower back pain after sitting,orthopedic
487,Knee pain and mild swelling after exercise,orthopedic
488,Shoulder discomfort when reaching behind my back,orthopedic
489,Neck pain and stiffness after waking up,orthopedic
490,Pain in my thigh after running,orthopedic
491,My hip becomes painful after long walks,orthopedic
492,Ankle pain after stepping awkwardly,orthopedic
493,My knee makes a clicking sound with discomfort,orthopedic
494,Back pain that worsens when lifting things,orthopedic
495,Wrist pain after repetitive hand movements,orthopedic
496,Shoulder pain after carrying a heavy backpack,orthopedic
497,Stiff joints in the morning with difficulty moving,orthopedic
498,Persistent pain around my knee,orthopedic
499,Heel discomfort that is worse in the morning,orthopedic
500,Muscle pain after a sports activity,orthopedic
501,Frequent headaches that have been occurring for several weeks,neurologist
502,Recurring migraine attacks with sensitivity to light,neurologist
503,Numbness in my fingers and hands,neurologist
504,Tingling sensation in both feet,neurologist
505,Feeling dizzy and having difficulty maintaining balance,neurologist
506,Memory problems that have gradually increased,neurologist
507,Occasional shaking in my hands,neurologist
508,Headaches accompanied by nausea,neurologist
509,Feeling a spinning sensation when I move my head,neurologist
510,Repeated episodes of dizziness without fainting,neurologist
511,Tingling and pins and needles in my feet,neurologist
512,Weakness in my arms that has no obvious cause,neurologist
513,Difficulty coordinating my movements,neurologist
514,Recurring headaches that interfere with daily activities,neurologist
515,Experiencing a tremor while holding objects,neurologist
516,Numbness on one side of my face,neurologist
517,Occasional double vision with dizziness,neurologist
518,Problems with balance while walking,neurologist
519,Frequent migraines that return every month,neurologist
520,Memory lapses during normal daily activities,neurologist
521,Headache that has persisted despite getting enough sleep,neurologist
522,Tingling in my hands when I wake up,neurologist
523,Feeling weakness in one arm from time to time,neurologist
524,Unexplained shaking in both hands,neurologist
525,Spinning sensation accompanied by nausea,neurologist
526,Recurring numbness in my feet,neurologist
527,Difficulty concentrating on simple tasks,neurologist
528,Headaches with sensitivity to bright lights,neurologist
529,Feeling unsteady while walking,neurologist
530,Occasional facial muscle twitching,neurologist
531,Persistent tingling in my fingertips,neurologist
532,Headaches that occur several times a week,neurologist
533,Short episodes of dizziness and loss of balance,neurologist
534,Memory difficulties that are becoming noticeable,neurologist
535,Muscle weakness in both legs,neurologist
536,Recurring nerve pain in my legs,neurologist
537,Trembling hands when trying to write,neurologist
538,Frequent migraine headaches with nausea,neurologist
539,Loss of coordination when walking,neurologist
540,Numbness around my mouth that comes and goes,neurologist
541,Persistent headaches after a previous head injury,neurologist
542,Feeling pins and needles in my hands,neurologist
543,Occasional spinning sensation when standing up,neurologist
544,Difficulty remembering recent conversations,neurologist
545,Muscle weakness that affects my daily activities,neurologist
546,Recurring headaches mostly on one side of my head,neurologist
547,Hand tremors that are more noticeable when resting,neurologist
548,Feeling unsteady when walking on uneven ground,neurologist
549,Tingling and burning sensation in my feet,neurologist
550,Occasional episodes of blurred or double vision,neurologist
551,Frequent headaches with sensitivity to sound,neurologist
552,Problems with coordination while using my hands,neurologist
553,Numbness that occasionally affects one side of my body,neurologist
554,Recurring dizziness with a spinning feeling,neurologist
555,Difficulty focusing and concentrating for several months,neurologist
556,Weakness in my legs after walking a short distance,neurologist
557,Facial twitching that keeps returning,neurologist
558,Headaches that become worse with physical activity,neurologist
559,Occasional blackout episodes that need evaluation,neurologist
560,Persistent tingling sensation in my arms,neurologist
561,Feeling confused about familiar tasks sometimes,neurologist
562,Recurring nerve pain with burning sensations,neurologist
563,Tremor in my hands that occurs without exercise,neurologist
564,Difficulty maintaining balance when turning around,neurologist
565,Migraine attacks that sometimes cause vomiting,neurologist
566,Numbness and weakness affecting my hand,neurologist
567,Headaches occurring mostly in the morning,neurologist
568,Occasional muscle twitching in my face,neurologist
569,Difficulty coordinating my legs while walking,neurologist
570,Tingling sensation that travels down my arm,neurologist
571,Recurring episodes of vertigo,neurologist
572,Memory problems affecting my studies or work,neurologist
573,Frequent headaches with visual disturbances,neurologist
574,Persistent weakness in my muscles,neurologist
575,Repeated episodes of numbness and tingling,neurologist
576,Stomach pain after eating spicy food,gastroenterologist
577,Frequent heartburn after meals,gastroenterologist
578,Bloating and abdominal discomfort after eating,gastroenterologist
579,Constipation that has continued for several days,gastroenterologist
580,Loose stools occurring several times a day,gastroenterologist
581,Nausea and vomiting after eating,gastroenterologist
582,Stomach cramps that keep returning,gastroenterologist
583,Indigestion after most meals,gastroenterologist
584,Abdominal bloating that gets worse in the evening,gastroenterologist
585,Recurring acidity during the night,gastroenterologist
586,Pain in the upper abdomen after meals,gastroenterologist
587,Frequent gas and abdominal discomfort,gastroenterologist
588,Changes in bowel habits for several weeks,gastroenterologist
589,Diarrhea that has continued for several days,gastroenterologist
590,Constipation with abdominal discomfort,gastroenterologist
591,Feeling nauseous most mornings,gastroenterologist
592,Stomach pain that comes and goes,gastroenterologist
593,Burning sensation in my chest after eating,gastroenterologist
594,Bloating after consuming dairy products,gastroenterologist
595,Abdominal cramps before bowel movements,gastroenterologist
596,Frequent indigestion and stomach discomfort,gastroenterologist
597,Loss of appetite with ongoing stomach problems,gastroenterologist
598,Pain in the upper right side of my abdomen,gastroenterologist
599,Recurring stomach upset after meals,gastroenterologist
600,Acid reflux when lying down,gastroenterologist
601,Abdominal discomfort with frequent gas,gastroenterologist
602,Hard stools and difficulty having bowel movements,gastroenterologist
603,Loose stools after eating certain foods,gastroenterologist
604,Persistent nausea without severe pain,gastroenterologist
605,Stomach discomfort that gets worse after eating,gastroenterologist
606,Frequent burping and heartburn,gastroenterologist
607,Abdominal pain that has lasted for several weeks,gastroenterologist
608,Feeling unusually bloated after small meals,gastroenterologist
609,Recurring constipation despite drinking water,gastroenterologist
610,Frequent episodes of diarrhea,gastroenterologist
611,Nausea and reduced appetite for several days,gastroenterologist
612,Burning acidity after dinner,gastroenterologist
613,Stomach cramps with changes in bowel movements,gastroenterologist
614,Indigestion and bloating after meals,gastroenterologist
615,Persistent gas and abdominal fullness,gastroenterologist
616,Pain around my stomach after eating,gastroenterologist
617,Frequent acid reflux during sleep,gastroenterologist
618,Constipation that keeps returning,gastroenterologist
619,Abdominal pain accompanied by nausea,gastroenterologist
620,Feeling full very quickly after eating,gastroenterologist
621,Recurring diarrhea after certain foods,gastroenterologist
622,Stomach pain with occasional vomiting,gastroenterologist
623,Heartburn occurring several times a week,gastroenterologist
624,Bloating and discomfort after large meals,gastroenterologist
625,Irregular bowel movements for the past month,gastroenterologist
626,Abdominal cramps with diarrhea,gastroenterologist
627,Frequent nausea after meals,gastroenterologist
628,Stomach burning that improves after taking antacid,gastroenterologist
629,Loss of appetite and persistent digestive discomfort,gastroenterologist
630,Abdominal pain after eating fatty foods,gastroenterologist
631,Frequent constipation and bloating,gastroenterologist
632,Recurrent indigestion throughout the week,gastroenterologist
633,Loose stools with abdominal cramps,gastroenterologist
634,Stomach discomfort with excessive burping,gastroenterologist
635,Acid reflux and burning sensation in the throat,gastroenterologist
636,Persistent bloating after meals,gastroenterologist
637,Nausea that has continued for several days,gastroenterologist
638,Recurring abdominal discomfort before meals,gastroenterologist
639,Difficulty swallowing food with recurring digestive discomfort,gastroenterologist
640,Stomach pain that returns after eating,gastroenterologist
641,Frequent bowel urgency and loose stools,gastroenterologist
642,Abdominal fullness and gas after meals,gastroenterologist
643,Chronic heartburn that occurs at night,gastroenterologist
644,Recurring stomach cramps and bloating,gastroenterologist
645,Changes in bowel movements with abdominal discomfort,gastroenterologist
646,Persistent digestive problems after meals,gastroenterologist
647,Upper abdominal burning and indigestion,gastroenterologist
648,Frequent nausea with stomach discomfort,gastroenterologist
649,Constipation followed by abdominal bloating,gastroenterologist
650,Recurring diarrhea and stomach cramps,gastroenterologist
651,Ear pain that has continued for several days,ent
652,Nose feels blocked most of the time,ent
653,Ringing sound in my ears,ent
654,Difficulty hearing clearly with one ear,ent
